0	5	6,3	8	10	12,5
9	2,22	3,5	5,56	8,89	13,89
9,5	2,11	3,32	5,26	8,42	13,16
10	2	3,15	5	8	12,5
11	1,82	2,86	4,55	7,27	11,36
12	1,67	2,62	4,17	6,67	10,42
12,5	1,6	2,52	4	6,4	10
13	1,54	2,42	3,85	6,15	9,62
14	1,43	2,25	3,57	5,71	8,93
15	1,33	2,1	3,33	5,33	8,33
16	1,25	1,97	3,13	5	7,81
17	1,18	1,85	2,94	4,71	7,35
17,5	1,14	1,8	2,86	4,57	7,14
18	1,11	1,75	2,78	4,44	6,94
19	1,05	1,66	2,63	4,21	6,58
20	1	1,58	2,5	4	6,25
22	0,91	1,43	2,27	3,64	5,68
24	0,83	1,31	2,08	3,33	5,21
25	0,8	1,26	2	3,2	5
26	0,77	1,21	1,92	3,08	4,81
