kmd	kx	kz	ec	es	ca25	ca50	ca60
0	0	1	0	10	21,74	43,48	52,17
0,005	0,007	0,997	0,07	10	21,68	43,35	52,02
0,01	0,015	0,994	0,15	10	21,61	43,22	51,86
0,015	0,022	0,991	0,23	10	21,55	43,09	51,71
0,02	0,03	0,988	0,31	10	21,48	42,96	51,55
0,025	0,037	0,985	0,39	10	21,42	42,83	51,39
0,03	0,045	0,982	0,47	10	21,35	42,7	51,23
0,035	0,053	0,979	0,55	10	21,28	42,57	51,07
0,04	0,06	0,976	0,64	10	21,22	42,43	50,91
0,045	0,068	0,973	0,73	10	21,15	42,3	50,75
0,05	0,076	0,97	0,82	10	21,08	42,16	50,59
0,055	0,084	0,967	0,91	10	21,01	42,02	50,42
0,06	0,092	0,963	1,01	10	20,94	41,89	50,26
0,065	0,1	0,96	1,11	10	20,87	41,75	50,09
0,07	0,108	0,957	1,21	10	20,8	41,61	49,93
0,075	0,116	0,954	1,31	10	20,73	41,47	49,76
0,08	0,124	0,95	1,41	10	20,66	41,33	49,59
0,085	0,132	0,947	1,52	10	20,59	41,18	49,42
0,09	0,14	0,944	1,63	10	20,52	41,04	49,24
0,095	0,149	0,941	1,74	10	20,45	40,9	49,07
0,1	0,157	0,937	1,86	10	20,38	40,75	48,9
0,105	0,165	0,934	1,98	10	20,3	40,6	48,72
0,11	0,174	0,93	2,1	10	20,23	40,46	48,54
0,115	0,182	0,927	2,23	10	20,15	40,31	48,36
0,12	0,191	0,924	2,36	10	20,08	40,16	48,18
0,125	0,2	0,92	2,5	10	20	40,01	48
0,13	0,209	0,917	2,64	10	19,93	39,85	47,82
0,135	0,217	0,913	2,78	10	19,85	39,7	47,63
0,14	0,226	0,909	2,93	10	19,77	39,54	47,45
0,145	0,235	0,906	3,08	10	19,69	39,39	47,26
0,15	0,244	0,902	3,24	10	19,61	39,23	47,07
0,155	0,254	0,899	3,4	10	19,53	39,07	46,88
0,158	0,259	0,896	3,5	10	19,49	38,97	46,76
0,16	0,263	0,895	3,5	9,81	19,45	38,91	46,68
0,165	0,272	0,891	3,5	9,35	19,37	38,74	46,49
0,17	0,282	0,887	3,5	8,92	19,29	38,58	46,29
0,175	0,291	0,883	3,5	8,52	19,21	38,41	46,09
0,18	0,301	0,88	3,5	8,13	19,12	38,25	45,89
0,185	0,311	0,876	3,5	7,77	19,04	38,08	45,69
0,19	0,32	0,872	3,5	7,42	18,95	37,91	45,48
0,195	0,33	0,868	3,5	7,09	18,87	37,73	45,27
0,2	0,34	0,864	3,5	6,78	18,78	37,56	45,06
0,205	0,351	0,86	3,5	6,48	18,69	37,38	44,85
0,21	0,361	0,856	3,5	6,2	18,6	37,2	44,64
0,215	0,371	0,851	3,5	5,93	18,51	37,02	44,42
0,22	0,382	0,847	3,5	5,67	18,42	36,84	44,2
0,225	0,392	0,843	3,5	5,42	18,33	36,65	43,98
0,23	0,403	0,839	3,5	5,18	18,23	36,47	43,75
0,235	0,414	0,834	3,5	4,95	18,14	36,28	43,53
0,24	0,425	0,83	3,5	4,73	18,04	36,08	43,29
0,245	0,436	0,825	3,5	4,52	17,94	35,89	43,06
0,246	0,439	0,824	3,5	4,48	17,92	35,85	43,01
0,25	0,448	0,821	3,5	4,32	17,85	35,69
0,255	0,459	0,816	3,5	4,12	17,74	35,49
0,26	0,471	0,812	3,5	3,93	17,64	35,29
0,265	0,483	0,807	3,5	3,75	17,54	35,08
0,27	0,495	0,802	3,5	3,57	17,43	34,87
0,275	0,507	0,797	3,5	3,4	17,33	34,66
0,28	0,52	0,792	3,5	3,23	17,22	34,44
0,285	0,532	0,787	3,5	3,07	17,11	34,22
0,29	0,545	0,782	3,5	2,92	17	33,99
0,295	0,559	0,777	3,5	2,77	16,88	33,76
0,3	0,572	0,771	3,5	2,62	16,76	33,53
0,305	0,586	0,766	3,5	2,48	16,65	33,29
0,31	0,6	0,76	3,5	2,34	16,52	33,05
0,315	0,614	0,754	3,5	2,2	16,4	32,8
0,32	0,629	0,749	3,5	2,07	16,27	32,55
0,325	0,644	0,743	3,5	1,94	16,14
0,33	0,659	0,736	3,5	1,81	16,01
0,335	0,675	0,73	3,5	1,69	15,87
0,34	0,691	0,724	3,5	1,57	15,73
0,345	0,708	0,717	3,5	1,45	15,59
0,35	0,725	0,71	3,5	1,33	15,44
0,355	0,743	0,703	3,5	1,21	15,28
0,36	0,761	0,696	3,5	1,1	15,12
0,362	0,769	0,692	3,5	1,05	15,05
0,365	0,78	0,688	3,5	0,99
0,37	0,8	0,68	3,5	0,87
0,375	0,821	0,671	3,5	0,76
0,38	0,843	0,663	3,5	0,65
0,385	0,866	0,653	3,5	0,54
0,39	0,891	0,643	3,5	0,43
0,395	0,918	0,633	3,5	0,31
0,4	0,947	0,621	3,5	0,2
0,405	0,978	0,608	3,5	0,08
0,408	1	0,6	3,5	0
