λ	cx	cy	ex	kx
0,50	0,0073	0,0200	0,0198	0,2380
0,51	0,0077	0,0204	0,0211	0,2530
0,52	0,0081	0,0207	0,0223	0,2680
0,53	0,0085	0,0210	0,0236	0,2830
0,54	0,0089	0,0212	0,0249	0,2980
0,55	0,0093	0,0215	0,0262	0,3410
0,56	0,0097	0,0217	0,0275	0,3300
0,57	0,0101	0,0219	0,0288	0,3450
0,58	0,0196	0,0221	0,0301	0,3610
0,59	0,0110	0,0222	0.0314	0,3770
0,60	0,0114	0,0223	0,0328	0,3930
0,61	0,0118	0,0225	0,0341	0,4090
0,62	0,0123	0,0226	0,0354	0,4250
0,63	0,0127	0,0226	0,0367	0,4410
0,64	0,0131	0,0227	0,0380	0,4560
0,65	0,0136	0,0227	0,0393	0,4720
0,66	0,0140	0,0227	0,0406	0,4870
0,67	0,0144	0,0227	0,0418	0,5020
0,68	0,0149	0,0227	0,0431	0,5170
0,69	0,0153	0,0227	0,0443	0,5310
0,70	0,0157	0,0227	0,0454	0,5450
0,71	0,0161	0,0226	0,0466	0,5590
0,72	0,0166	0,0226	0,0478	0,5730
0,73	0,0170	0,0225	0,0489	0,5870
0,74	0,0174	0,0224	0,0500	0,6000
0,75	0,0178	0,0223	0,0511	0,6130
0,76	0,0182	0,0222	0,0521	0,6250
0,77	0,0186	0,0221	0,0531	0,6370
0,78	0,0190	0,0219	0,0541	0,6490
0,79	0,0194	0,0218	0,0551	0,6610
0,80	0,0198	0.0217	0,0560	0,6720
0,81	0,0202	0,0215	0,0569	0,6830
0,82	0,0206	0,0214	0,0558	0,6930
0,83	0,0210	0,0212	0,0586	0,7030
0,84	0,0214	0,0210	0,0594	0,7130
0,85	0,0218	0,0209	0,0602	0,7230
0,86	0,0221	0,0207	0,0610	0,7320
0,87	0,0225	0,0205	0,0618	0,7410
0,88	0,0228	0,0203	0,0625	0,7500
0,89	0,0232	0,0201	0,0632	0,7580
0,90	0,0235	0,0199	0,0639	0,7660
0,91	0,0239	0,0197	0,0645	0,7740
0,92	0,0242	0,0195	0,0651	0,7820
0,93	0,0245	0,0194	0,0657	0,7890
0,94	0,0249	0,0191	0,0664	0,7960
0,95	0,0252	0,0189	0,0669	0,8030
0,96	0,0255	0,0187	0,0675	0,8090
0,97	0,0258	0,0185	0,0680	0,8160
0,98	0,0261	0,0183	0,0685	0,8220
0,99	0,0264	0,0181	0,0690	0,8280
1,00	0,0267	0,0179	0,0694	0,8330
1,02	0,0272	0,0175	0,0703	0,8440
1,04	0,0278	0,0171	0,0712	0,8540
1,06	0,0283	0,0168	0,0719	0,8630
1,08	0,0288	0,0164	0,0727	0,8720
1,10	0,0293	0,0160	0,0733	0,8800
1,12	0,0297	0,0156	0,0740	0,8870
1,14	0,0301	0,0152	0,0745	0,8940
1,16	0,0305	0,0149	0,0751	0,9000
1,18	0,0309	0,0143	0,0755	0,9060
1,20	0,0313	0,0142	0,0760	0,9120
1,22	0,0317	0,0138	0,0760	0,9170
1,24	0,0320	0,0135	0,0769	0,9220
1,26	0,0323	0,0132	0,0772	0,9260
1,28	0,0327	0,0129	0,0776	0,9310
1,30	0,0330	0,0126	0,0779	0,9340
1,32	0,0332	0,0123	0,0782	0,9380
1,34	0,0335	0,0120	0,0785	0,9420
1,36	0,0338	0,0117	0,0787	0,9450
1,38	0,0340	0,0114	0,0790	0,9480
1,40	0,0343	0,0112	0,0792	0,9500
1,42	0,0345	0,0109	0,0794	0,9530
1,44	0,0347	0,0106	0,0796	0,9550
1,46	0,0349	0,0104	0,0798	0,9580
1,48	0,0351	0,0102	0,0800	0,9600
1,50	0,0353	0,0099	0,0802	0,9620
1,50	0,0353	0,0099	0,0802	0,9620
1,52	0,0355	0,0097	0,0803	0,9640
1,54	0,0357	0,0095	0,0804	0,9660
1,56	0,0359	0,0093	0,0806	0,9670
1,58	0,0360	0,0091	0,0808	0,9690
1,60	0,0362	0,0089	0,0808	0,9700
1,62	0,0363	0,0087	0,0810	0,9720
1,64	0,0365	0,0085	0,0811	0,9730
1,66	0,0376	0,0083	0,0812	0,9740
1,68	0,0368	0,0081	0,0813	0,9750
1,70	0,0369	0,0080	0,0814	0,9770
1,72	0,0370	0,0078	0,0815	0,9780
1,74	0,0371	0,0077	0,0816	0,9790
1,76	0,0372	0,0075	0,0816	0,9800
1,78	0,0373	0,0073	0,0817	0,9800
1,80	0,0375	0,0072	0,0818	0,9810
1,82	0,0376	0,0071	0,0818	0,9820
1,84	0,0377	0,0069	0,0819	0,9830
1,86	0,0378	0,0068	0,0820	0,9830
1,88	0,0378	0,0066	0,0820	0,9840
1,90	0,0379	0,0065	0,0821	0,9850
1,92	0,0380	0,0064	0,0821	0,9850
1,94	0,0381	0,0063	0,0822	0,9860
1,96	0,0382	0,0062	0,0822	0,9870
1,98	0,0383	0,0060	0,0822	0,9870
2,00	0,0383	0,0059	0,0823	0,9880
