λ	cx	cy	ex	ey	kx
1,00	0,0179	0,0179	0,0417	0,0417	0,5000
1,01	0,0183	0,0179	0,0425	0,0417	0,5100
1,02	0,0187	0,0179	0,0433	0,0416	0,5200
1,03	0,0190	0,0179	0,0441	0,0416	0,5290
1,04	0,0193	0,0179	0,0449	0,0416	0,5390
1,05	0,0197	0,0178	0,0457	0,0415	0,5490
1,06	0,0200	0,0178	0,0465	0,0414	0,5580
1,07	0,0204	0,0178	0,0473	0,0413	0,5670
1,08	0,0207	0,0178	0,0480	0,0412	0,5760
1,09	0,0210	0,0177	0,0488	0,0411	0,5850
1,10	0,0214	0,0177	0,0495	0,0410	0,5940
1,11	0,0217	0,0176	0,0503	0,0408	0,6030
1,12	0,0220	0,0176	0,0509	0,0406	0,6110
1,13	0,0224	0,0175	0,0516	0,0404	0,6200
1,14	0,0227	0,0174	0,0524	0,0403	0,6280
1,15	0,0230	0,0174	0,0530	0,0401	0,6360
1,16	0,0233	0,0173	0,0537	0,0399	0,6440
1,17	0,0236	0,0172	0,0544	0,0397	0,6520
1,18	0,0239	0,0171	0,0550	0,0395	0,6600
1,19	0,0242	0,0171	0,0556	0,0393	0,6670
1,20	0,0244	0,0170	0,0562	0,0391	0,6750
1,21	0,0247	0,0169	0,0568	0,0388	0,6820
1,22	0,0250	0,0168	0,0574	0,0387	0,6890
1,23	0,0253	0,0167	0,0580	0,0383	0,6960
1,24	0,0256	0,0166	0,0586	0,0381	0,7030
1,25	0,0258	0,0165	0,0591	0,0380	0,7090
1,26	0,0261	0,0164	0,0597	0,0376	0,7160
1,27	0,0264	0,0163	0,0602	0,0373	0,7220
1,28	0,0266	0,0162	0,0607	0,0371	0,7290
1,29	0,0269	0,0161	0,0612	0,0368	0,7350
1,30	0,0271	0,0160	0,0617	0,0365	0,7410
1,31	0,0273	0,0159	0,0622	0,0363	0,7460
1,32	0,0276	0,0158	0,0627	0,0360	0,7520
1,33	0,0278	0,0157	0,0632	0,0357	0,7580
1,34	0,0281	0,0156	0,0636	0,0354	0,7630
1,35	0,0283	0,0155	0,0641	0,0351	0,7690
1,36	0,0285	0,0154	0,0645	0,0349	0,7740
1,37	0,0287	0,0153	0,0649	0,0346	0,7790
1,38	0,0289	0,0152	0,0653	0,0343	0,7840
1,39	0,0291	0,0157	0,0657	0,0340	0,7890
1,40	0,0293	0,0150	0,0661	0,0337	0,7930
1,41	0,0295	0,0149	0,0665	0,0335	0,7980
1,42	0,0297	0,0148	0,0669	0,0332	0,8030
1,43	0,0299	0,0146	0,0672	0,0329	0,8070
1,44	0,0301	0,0145	0,0676	0,0326	0,8110
1,45	0,0303	0,0144	0,0684	0,0323	0,8150
1,46	0,0305	0,0143	0,0683	0,0320	0,8200
1,47	0,0307	0,0142	0,0686	0,0318	0,8240
1,48	0,0309	0,0141	0,0690	0,0315	0,8270
1,49	0,0310	0,0140	0,0693	0,0312	0,8310
1,50	0,0312	0,0139	0,0696	0,0309	0,8350
1,51	0,0314	0,0138	0,0699	0,0306	0,8390
1,52	0,0315	0,0137	0,0702	0,0304	0,8420
